Year,Record,Artist,Win
1983,Ebony and Ivory,Paul McCartney and Stevie Wonder,0
1983,Always on My Mind,Willie Nelson,0
1983,Chariots of Fire,Vangelis,0
1984,Flashdance... What a Feeling,Irene Cara,0
1984,Every Breath You Take,The Police,0
1984,All Night Long (All Night),Lionel Richie,0
1984,Maniac,Michael Sembello,0
1985,Hard Habit to Break,Chicago,0
1985,Girls Just Want to Have Fun,Cyndi Lauper,0
1985,The Heart of Rock & Roll,Huey Lewis and the News,0
1985,Dancing in the Dark,Bruce Springsteen,0
1986,Money for Nothing,Dire Straits,0
1986,The Boys of Summer,Don Henley,0
1986,The Power of Love,Huey Lewis and the News,0
1986,Born in the U.S.A.,Bruce Springsteen,0
1987,Sledgehammer,Peter Gabriel,0
1987,Greatest Love of All,Whitney Houston,0
1987,Addicted to Love,Robert Palmer,0
1987,That's What Friends Are For,"Dionne Warwick & Friends (Elton John, Gladys Knight & Stevie Wonder)",0
1988,La Bamba,Los Lobos,0
1988,I Still Haven't Found What I'm Looking For,U2,0
1988,Luka,Suzanne Vega,0
1988,Back in the High Life Again,Steve Winwood,0
1989,Giving You the Best That I Got,Anita Baker,0
1989,Fast Car,Tracy Chapman,0
1989,Man in the Mirror,Michael Jackson,0
1989,Roll With It,Steve Winwood,0
1990,The End of the Innocence,Don Henley,0
1990,She Drives Me Crazy,Fine Young Cannibals,0
1990,We Didn't Start the Fire,Billy Joel,0
1990,The Living Years,Mike + The Mechanics,0
1991,Vision of Love,Mariah Carey,0
1991,U Can't Touch This,MC Hammer,0
1991,From a Distance,Bette Midler,0
1991,Nothing Compares 2 U,Sinéad O'Connor,0
1992,(Everything I Do) I Do It for You,Bryan Adams,0
1992,Baby Baby,Amy Grant,0
1992,Something to Talk About,Bonnie Raitt,0
1992,Losing My Religion,R.E.M.,0
1993,Achy Breaky Heart,Billy Ray Cyrus,0
1993,Beauty and the Beast,Celine Dion & Peabo Bryson,0
1993,Constant Craving,k.d. lang,0
1993,Save the Best for Last,Vanessa Williams,0
1994,A Whole New World,Peabo Bryson & Regina Belle,0
1994,The River of Dreams,Billy Joel,0
1994,If I Ever Lose My Faith in You,Sting,0
1994,Harvest Moon,Neil Young,0
1995,I'll Make Love to You,Boyz II Men,0
1995,He Thinks He'll Keep Her,Mary Chapin Carpenter,0
1995,Love Sneakin' Up On You,Bonnie Raitt,0
1995,Streets of Philadelphia,Bruce Springsteen,0
1996,One Sweet Day,Mariah Carey & Boyz II Men,0
1996,Gangsta's Paradise,Coolio,0
1996,One of Us,Joan Osborne,0
1996,Waterfalls,TLC,0
1997,Give Me One Reason,Tracy Chapman,0
1997,Because You Loved Me,Celine Dion,0
1997,Ironic,Alanis Morissette,0
1997,1979,The Smashing Pumpkins,0
